Stock,Code,Investor,Qty Held,Investor Count,P/E Ratio,PEG Ratio,EV/EBITDA,Earnings Yield,ROE,ROCE,EPS & EPS Growth,Revenue/Sales Growth,Profit After Tax (Net Income),Market Cap,Debt to Equity,Cash Conversion Cycle,Dividend Yield,Management Quality,Insider Ownership,Insider Pledging,Legal Issues,CEO/Founder Public Image,Industry Analysis,Macro Analysis,Free Cash Flow (FCF),Stock-Based Compensation (SBC),Short Interest,Analyst Consensus & Price Targets,Public shareholding (< 10-15%)
Valor Estate,DBREALTY,"Rekha Jhunjhunwala, Porinju Veliyath, Radhakishan Damani, Rakesh Jhunjhunwala & Associate","25,000,000, 6,500,000, 6,500,000, 25,000,000",4,,,,,,,,,,,,,,,,,,,,,,,,,
Concord Control,13510367,"Porinju Veliyath, Radhakishan Damani, Ashish Kacholia","346,167, 250,625, 76,433",3,,,,,,,,,,,,,,,,,,,,,,,,,
Vasa Denticity,DENTALKART,"Porinju Veliyath, Radhakishan Damani, Ashish Kacholia","410,000, 410,000, 609,000",3,,,,,,,,,,,,,,,,,,,,,,,,,
Vikran Engineering,VIKRAN,"Porinju Veliyath, Radhakishan Damani, Ashish Kacholia","3,500,000, 3,500,000, 3,930,060",3,,,,,,,,,,,,,,,,,,,,,,,,,
ASM Technologies,ASMTEC,"Porinju Veliyath, Radhakishan Damani","1,500,000, 1,500,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
AYM Syntex,AYMSYNTEX,"Porinju Veliyath, Radhakishan Damani","2,301,369, 2,301,369",2,,,,,,,,,,,,,,,,,,,,,,,,,
Advent Hotels International,ADVENTHTL,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate","2,500,000, 2,500,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
Allcargo Logistics,ALLCARGO,"Porinju Veliyath, Radhakishan Damani","44,100,000, 44,100,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
Apollo Pipes,APOLLOPIPE,"Porinju Veliyath, Radhakishan Damani","1,500,000, 1,500,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
Arman Fin Serv,ARMANFIN,"Porinju Veliyath, Radhakishan Damani","400,000, 400,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
Autoriders Intl,AUTORIDERS,"Porinju Veliyath, Radhakishan Damani","341,839, 341,839",2,,,,,,,,,,,,,,,,,,,,,,,,,
Baazar Style Retail,STYLEBAAZA,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate","2,532,500, 2,532,500",2,,,,,,,,,,,,,,,,,,,,,,,,,
Bella Casa Fashion,BELLACASA,"Porinju Veliyath, Radhakishan Damani","917,500, 917,500",2,,,,,,,,,,,,,,,,,,,,,,,,,
Canara Bank,CANBK,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate","139,918,000, 139,918,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
Capacit'e Infraprojects,CAPACITE,"Porinju Veliyath, Radhakishan Damani","5,150,000, 5,150,000",2,,,,,,,,,,,,,,,,,,,,,,,,,
