Rank,Stock,Code,Score,Tags,Investor,InvCount,Price,MCap_Cr,PE,PB,ROE,ROCE,DE,DivYld,EPS_Gr,Rev_Gr,Promoter,Pledge,Sector
1,Timescan Logistics,TIMESCAN,87.8,"Deep Value, High Quality",Mohnish Pabrai,1,47.0,32.8,5.11,1.15,25.2,33.0,,,,,,,"NSE
                - SM"
2,Unique Organics,UNIQUEO,86.4,"Deep Value, High Quality",Nemish S Shah,1,80.8,48.1,7.3,1.28,37.9,50.1,,,,,,,BSE
3,MPS,MPSLTD,84.2,"Value, High Quality, Dividend","Porinju Veliyath, Radhakishan Damani",2,1423.0,2434.0,14.8,4.96,30.5,40.9,,5.83,,,,,NSE
4,DAM Capital Advisors,DAMCAPITAL,82.2,"Value, High Quality",Ajay Upadhyaya,1,134.0,948.0,11.7,3.06,48.7,64.1,,0.75,,,,,NSE
5,SRM Contractors,SRM,81.9,"Value, High Quality",Ajay Upadhyaya,1,388.0,890.0,11.0,2.98,27.2,33.2,,,,,,,NSE
6,GHCL,GHCL,76.6,"Deep Value, Dividend",Dolly Khanna,1,463.0,4247.0,8.38,1.17,18.6,24.2,,2.59,,,,,NSE
7,Prakash Industries,PRAKASH,76.1,Deep Value,"Porinju Veliyath, Dolly Khanna",2,123.0,2201.0,5.7,0.71,14.1,,,1.22,,,,,NSE
8,Stove Kraft,STOVEKRAFT,75.7,"Value, High Quality",Ashish Kacholia,1,486.0,1613.0,19.8,5.25,67.5,31.8,,0.62,,,,,NSE
9,Balu Forge,BALUFORGE,75.4,High Quality,Ashish Kacholia,1,469.0,5513.0,21.6,4.3,25.4,31.3,,0.03,,,,,NSE
10,Tata Motors PV,TMPV,74.0,Unclassified,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,345.0,127135.0,21.2,1.15,28.1,20.0,,1.74,,,,,NSE
11,Mamata Machinery,MAMATA,73.6,High Quality,Ajay Upadhyaya,1,390.0,958.0,22.7,5.43,26.9,34.9,,0.13,,,,,NSE
12,RNFI Services,RNFI,73.6,High Quality,Anil Kumar Goel,1,246.0,617.0,23.8,4.54,25.2,29.4,,,,,,,"NSE
                - SM"
13,Elecon Engineering,ELECON,72.7,High Quality,Ajay Upadhyaya,1,402.0,9005.0,21.8,4.02,23.0,28.5,,0.5,,,,,NSE
14,TBI Corn,TBI,70.4,Deep Value,Ashish Kacholia,1,64.4,117.0,7.14,1.05,18.9,18.6,,,,,,,"NSE
                - SM"
15,Alufluoride,ALUFLUOR,70.2,"Value, High Quality",Mohnish Pabrai,1,428.0,334.0,14.1,2.97,20.8,23.6,,0.7,,,,,BSE
16,Beta Drugs,BETA,69.8,High Quality,Ashish Kacholia,1,1121.0,1136.0,26.4,5.12,25.9,27.0,,,,,,,NSE
17,B N Rathi Securities,BNRSEC,69.7,"Deep Value, Dividend",Nemish S Shah,1,14.2,59.3,8.26,0.81,14.1,20.1,,3.52,,,,,BSE
18,Autoriders Intl,AUTORIDERS,68.4,Value,"Porinju Veliyath, Radhakishan Damani",2,404.0,141.0,14.4,2.62,20.0,19.5,,0.04,,,,,BSE
19,J Kumar Infraprojects,JKIL,67.7,Deep Value,"Porinju Veliyath, Radhakishan Damani",2,499.0,3792.0,9.47,1.19,13.8,19.9,,0.8,,,,,NSE
20,Pratham EPC Projects,PRATHAM,67.6,Unclassified,Ashish Kacholia,1,129.0,235.0,22.7,2.62,19.9,25.6,,,,,,,"NSE
                - SM"
21,Agarwal Industrial,AGARIND,67.5,Deep Value,Ashish Kacholia,1,450.0,674.0,11.6,1.03,20.1,16.9,,0.73,,,,,NSE
22,Southern Petrchem,SPIC,67.4,"Deep Value, Dividend",Dolly Khanna,1,64.8,1316.0,6.53,1.02,13.8,16.9,,3.09,,,,,NSE
23,Crisil,CRISIL,67.1,High Quality,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,4239.0,31000.0,40.5,10.21,27.4,34.6,,0.59,,,,,NSE
24,Geojit Fin Serv,GEOJITFSL,67.1,"Value, Dividend","Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,60.2,1680.0,16.9,1.44,16.8,18.8,,2.49,,,,,NSE
25,Surya Roshni,SURYAROSNI,67.0,"Deep Value, Dividend","Porinju Veliyath, Radhakishan Damani",2,212.0,4608.0,14.5,1.84,14.8,20.6,,2.01,,,,,NSE
26,Kesar Terminals,KTIL,66.5,Unclassified,Nemish S Shah,1,64.8,70.8,,,,,,0.77,,,,,BSE
27,NCC,NCC,66.0,Deep Value,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,145.0,9106.0,12.2,1.21,11.4,21.7,,1.52,,,,,NSE
28,Inventurus Knowledge,IKS,65.7,High Quality,"Rekha Jhunjhunwala, Rakesh Jhunjhunwala & Associate",2,1396.0,23866.0,36.0,10.66,32.9,27.2,,,,,,,NSE
29,Sudeep Pharma,SUDEEPPHRM,65.7,High Quality,"Porinju Veliyath, Radhakishan Damani",2,594.0,6713.0,42.6,9.27,32.8,35.6,,,,,,,NSE
