Symbol,Company Name,Passed Screening,Failure Reason,Magic Formula Rank,ROCE (%),Earning Yield (%),WACC (%),Market Cap (Cr),P/E Ratio,ROCE Rank,EY Rank,Combined Rank,ROCE vs WACC,EY vs Bond+4%,Net Income (Cr),Total Assets (Cr),Current Liabilities (Cr),EBIT (Cr),Beta,Debt to Equity
RELIANCE.NS,Reliance Industries Limited,NO,EY (3.72%) <= Bond Yield + Margin (10.43%),N/A,8.71,3.72,8.21,1869785.0,26.85,N/A,N/A,N/A,+0.5%,+-6.71%,69648.0,1950121.0,453737.0,130286.0,0.22,0.23
TCS.NS,Tata Consultancy Services Limited,NO,EY (4.46%) <= Bond Yield + Margin (10.43%),N/A,62.02,4.46,8.55,1089479.0,22.44,N/A,N/A,N/A,+53.46%,+-5.97%,48553.0,159629.0,53001.0,66127.0,0.33,0.06
HDFCBANK.NS,HDFC Bank Limited,NO,ROCE (0.00%) <= WACC (10.53%); EY (4.38%) <= Bond Yield + Margin (10.43%),N/A,0.0,4.38,10.53,1537747.0,22.83,N/A,N/A,N/A,N/A,+-6.05%,67350.83,4818767.11,0.0,0.0,0.62,0.18
INFY.NS,Infosys Limited,NO,EY (0.05%) <= Bond Yield + Margin (10.43%),N/A,36.24,0.05,8.63,595178.0,1884.67,N/A,N/A,N/A,+27.6%,+-10.38%,315.8,1741.9,501.2,449.6,0.35,0.06
ICICIBANK.NS,ICICI Bank Limited,NO,ROCE (0.00%) <= WACC (9.58%); EY (4.98%) <= Bond Yield + Margin (10.43%),N/A,0.0,4.98,9.58,1024194.0,20.07,N/A,N/A,N/A,N/A,+-5.45%,51029.2,2642241.41,0.0,0.0,0.49,0.09
HINDUNILVR.NS,Hindustan Unilever Limited,NO,EY (1.76%) <= Bond Yield + Margin (10.43%),N/A,23.38,1.76,8.69,603971.0,56.72,N/A,N/A,N/A,+14.69%,+-8.67%,10649.0,79880.0,16537.0,14810.0,0.37,0.02
ITC.NS,ITC Limited,NO,EY (6.83%) <= Bond Yield + Margin (10.43%),N/A,36.57,6.83,7.43,508907.0,14.65,N/A,N/A,N/A,+29.14%,+-3.6%,34746.63,88090.68,14334.11,26972.0,0.06,0.0
SBIN.NS,State Bank of India,NO,ROCE (0.00%) <= WACC (9.57%); EY (10.15%) <= Bond Yield + Margin (10.43%),N/A,0.0,10.15,9.57,763972.0,9.85,N/A,N/A,N/A,N/A,+-0.28%,77561.34,7314185.34,0.0,0.0,0.49,0.09
BHARTIARTL.NS,Bharti Airtel Limited,NO,EY (2.96%) <= Bond Yield + Margin (10.43%),N/A,16.77,2.96,8.78,1134447.0,33.81,N/A,N/A,N/A,+7.99%,+-7.47%,33556.1,514360.4,180440.2,56012.6,0.15,0.71
ASIANPAINT.NS,Asian Paints Limited,NO,EY (1.48%) <= Bond Yield + Margin (10.43%),N/A,23.98,1.48,8.94,248073.0,67.65,N/A,N/A,N/A,+15.04%,+-8.95%,3667.23,30371.37,8141.23,5330.09,0.39,0.08
